Trace_ID,Operation_Name,Transaction_Size_Bytes,Transaction_Fees_Lamports,Transaction_Hash_or_Status
1,initialize,293,5000,cy1tAaehuR3vRzM1ucqPxEJBjnEivBnLCU3fSBrwGW4hrj2Mh3d78z8wmM5VYBKLp9WeWunLp6nzmzd8tSqNkkT
2,withdraw,220,5000,dn2U7xMqD3MSM3kzdTGzAPMRVAcwec9qWp9Yoryoy4LScEqXTZPmtYdUkzRt5Wddv9zJayW9h4R2Uyozcu1i8z2
3,cancel,244,5000,3hgr4pTaoskSp7iEwecZf18d8SEi3aqDN6nopkFQFTtbEydEyaLzypF7htZso6tYN6u4dbc1Yp5iTM77Qa4NEr1o
4,withdraw,220,5000,3QWbPY2XtHFuYfUi4zGTeUmSSXCo3aWMeJjhRpWLKfZbkDV6UZNbAyBqNgjBFpBL5UsA41j6DvH9YZrAhFWHSmBC
5,finalize,212,5000,4DgwG31s5X6eAvHxNbV37fihcgnSXLDyM5UW3zQmZ3AUZfThmRfc5eMuvChNHBJm2vT6TYVwSZUT7ymANYWreXGu
