Trace_ID,Operation_Name,Transaction_Size_Bytes,Transaction_Fees_Lamports,Transaction_Hash_or_Status
1,deposit,252,5000,2aDDYxDQo79kYhWBW7JVTrWQfeqBJbpir5wLDZ8kJyeMPKthD41E31Rzoi73eyJdCmc37A8iisUDX94PQiujUwFg
2,create_transaction,325,5000,4wBDfn9QqS4GaGUp2eKgmJqXWBZF4yKMGLQJviLV3YtXfBGcXVX1CfgHT7MJPeKM9MfmFPiz2P2NzEZnXn8EbZDL
3,execute_transaction,317,5000,4pZvkKTDmVAawRhJP5FLaZZE8HLij12hgr8VvF5y6Ww7cUXMobwpgfXqiWt2Ys8g7uJERhRCBqKj2gHnu89h4jBf
4,withdraw,252,5000,125wWxbwMioxmY5yDGSaSSnTrzaXhTXKDeTsNokiDfMH8dFdJrLoXpJqfDzN9in594WrjVFtdhkhLNgmucH5G3Zj
