Trace_ID,Operation_Name,Transaction_Size_Bytes,Transaction_Fees_Lamports,Transaction_Hash_or_Status
1,deposit,411,5000,4JLofBnf9VKQuHkkQ9JMnUurSHrKPV9er4dqWavRaBMPXB77d4kwvksMSvwEiHQBHsJUA5dLMLTEigg4bWiDYWeT
2,withdraw,518,5000,3adWrkUHZKZA6bDZeeXeGexdmSGz1pzNSkWHDZ2WK1SFZoqHeYW8nf4CXqrYJFSqRbJtLRtDkEjRQ3aNyVRvHmzV
