Trace_ID,Transaction_Size_Bytes,Transaction_Fees_Lamports,Transaction_Hash_or_Status
Initialize
1,269,5000,5xYUMgcZvFtkXM7tmZ27UCVHUUgZktP6Z3isY5eoGtpqPWAVYuaJ8sZb2vk2K4zqGgmTRJXevpi1Z2LY78aKVdEn
Donate
2,292,5000,5khSAMcJuS4o57HRvPeoXn6MzYfQDJr8ULhPVkqZArc5ozX9F3n4LxSBN3FYCCkAigBepdhMPSjutWD98hSwXwFJ
Withdraw
3,220,5000,5axH8a5e33Qr5hymRsejiFRrtMpczk1ytcwVyaHp5r7udBXbqxTVrA6FNi9uHrRyc5dBAadJFtsGjn63nqaQU1Yt
