Trace_ID,Operation_Name,Transaction_Size_Bytes,Transaction_Fees_Lamports,Transaction_Hash_or_Status
1,initialize,277,5000,2EfnstvovrwaRpd711z7G274xtUvLEtgseMQb24EvdQC1Lbvs4B91pFCQFtL5ru2w3ed7qoJABc55tor5MWmgUi1
2,store_string,251,5000,3s8X2UmPPXYb6GH8ucnHsaBJEuSWh6UWd9KoUUt1WBJL2xw55uLpM7ThvyTmQxE4w5xgPpKbpRBV1idiMu5CUQ2b
3,store_bytes,251,5000,3qhDHucNZqE7eNVXoaqVhBRA1KMKFKDa9hYWiMTRUiPh1CqP96aKDHJcYRb3fq1cNfyHd8FjzFojTxLiFnKNpSLJ
